# U0/t0  Spi
3.062 0.9587
4.593 1.075
6.124 1.195
7.655 1.33
9.378 1.438
11.1 1.471
12.82 1.455
14.54 1.431
16.27 1.395
17.99 1.347
19.71 1.304
21.43 1.276
