# U0/t0  Spi
3.062 0.8875
4.593 0.9451
6.124 0.9928
7.655 1.036
9.378 1.067
11.1 1.087
12.82 1.097
14.54 1.101
16.27 1.09
17.99 1.075
19.71 1.063
21.43 1.058
