# U0/t0  Sth
3.062 0.9991
4.593 1.156
6.124 1.357
7.655 1.642
9.378 2.032
11.1 2.149
12.82 2.016
14.54 1.927
16.27 1.82
17.99 1.688
19.71 1.593
21.43 1.505
