# U0/t0  Spi
3.062 0.9642
4.593 1.106
6.124 1.273
7.655 1.438
9.378 1.601
11.1 1.663
12.82 1.634
14.54 1.572
16.27 1.512
17.99 1.447
19.71 1.388
21.43 1.354
