# U0/t0  Spi
3.062 0.9876
4.593 1.142
6.124 1.344
7.655 1.57
9.378 1.842
11.1 1.937
12.82 1.848
14.54 1.777
16.27 1.704
17.99 1.604
19.71 1.507
21.43 1.439
