# U0/t0  Spi
3.062 0.9726
4.593 1.129
6.124 1.327
7.655 1.524
9.378 1.755
11.1 1.832
12.82 1.769
14.54 1.692
16.27 1.621
17.99 1.542
19.71 1.455
21.43 1.393
