# U0/t0  Sth
3.062 0.5861
4.593 0.6405
6.124 0.689
7.655 0.7296
9.378 0.7645
11.1 0.7921
12.82 0.8124
14.54 0.8268
16.27 0.8394
17.99 0.8541
19.71 0.8654
21.43 0.8731
