# U0/t0  Spi
3.062 0.9302
4.593 1.023
6.124 1.109
7.655 1.189
9.378 1.254
11.1 1.276
12.82 1.278
14.54 1.269
16.27 1.243
17.99 1.211
19.71 1.189
21.43 1.171
