# U0/t0  Spi
3.062 0.9946
4.593 1.149
6.124 1.351
7.655 1.603
9.378 1.915
11.1 2.02
12.82 1.914
14.54 1.849
16.27 1.759
17.99 1.647
19.71 1.549
21.43 1.471
