# U0/t0  Sth
3.062 0.7053
4.593 0.7491
6.124 0.7907
7.655 0.8279
9.378 0.8584
11.1 0.8786
12.82 0.8978
14.54 0.9143
16.27 0.9261
17.99 0.932
19.71 0.9351
21.43 0.9369
