     -15   0.0367    0.176        1   0.0103      3.5
   -14.6   0.0409    0.193        1    0.021     6.53
   -14.2   0.0454    0.211        1   0.0222     5.76
   -13.8   0.0504    0.229        1   0.0237     5.17
   -13.4   0.0559    0.247        1   0.0253     4.64
     -13    0.062    0.267        1   0.0267     4.14
   -12.6   0.0686    0.287        1   0.0283     3.69
   -12.2   0.0759    0.309        1   0.0301     3.32
   -11.8   0.0839    0.332        1   0.0318     2.97
   -11.4   0.0926    0.356        1   0.0333     2.64
     -11    0.102    0.382        1   0.0346     2.34
   -10.6    0.112    0.408        1   0.0363     2.09
   -10.2    0.123    0.437        1   0.0385      1.9
    -9.8    0.135    0.466        1   0.0406     1.72
    -9.4    0.148    0.496        1   0.0425     1.54
      -9    0.162    0.527        1   0.0443     1.38
    -8.6    0.177    0.559        1    0.046     1.24
    -8.2    0.193    0.591        1   0.0476     1.11
    -7.8     0.21    0.623        1   0.0491    0.994
    -7.4    0.228    0.656        1   0.0491    0.871
      -7    0.246    0.689        1   0.0505    0.783
    -6.6    0.266    0.721        1   0.0531    0.726
    -6.2    0.287    0.753        1   0.0531    0.641
    -5.8    0.308    0.784        1   0.0531    0.568
    -5.4     0.33    0.815        1   0.0543    0.517
      -5    0.353    0.844        1   0.0543    0.463
    -4.6    0.376    0.872        1   0.0554    0.424
    -4.2    0.401    0.898        1   0.0554    0.383
    -3.8    0.425    0.923        1   0.0543    0.339
    -3.4     0.45    0.945        1   0.0544     0.31
      -3    0.475    0.966        1   0.0534    0.278
    -2.6      0.5    0.985        1   0.0525    0.251
    -2.2    0.525        1        1   0.0517    0.227
    -1.8     0.55     1.01        1   0.0509    0.207
    -1.4    0.575     1.03        1   0.0501    0.189
      -1      0.6     1.04        1   0.0484    0.171
    -0.6    0.624     1.04        1   0.0459    0.151
    -0.2    0.647     1.05        1   0.0443    0.138
     0.2     0.67     1.05        1   0.0429    0.126
     0.6    0.692     1.05        1   0.0415    0.115
       1    0.714     1.05        1   0.0401    0.106
     1.4    0.735     1.05        1    0.037   0.0929
     1.8    0.754     1.04     1.03   0.0348   0.0836
     2.2    0.773     1.04     1.03   0.0336   0.0775
     2.6    0.791     1.03     1.03   0.0315     0.07
       3    0.808     1.02     1.03   0.0295   0.0633
     3.4    0.824     1.01     1.03   0.0276   0.0572
     3.8    0.839    0.999     1.04   0.0256   0.0516
     4.2    0.853    0.988     1.04   0.0237   0.0465
     4.6    0.866    0.976     1.04   0.0219   0.0417
       5    0.878    0.964     1.04     0.02   0.0373
     5.4    0.889    0.952     1.04   0.0182   0.0333
     5.8    0.899     0.94     1.04   0.0173   0.0309
     6.2    0.909    0.928     1.04   0.0163   0.0288
     6.6    0.918    0.916     1.04   0.0146   0.0252
       7    0.926    0.904     1.04   0.0137   0.0233
     7.4    0.934    0.893     1.04   0.0119   0.0201
     7.8     0.94    0.883     1.04   0.0111   0.0184
     8.2    0.947    0.872     1.04   0.0102   0.0168
     8.6    0.952    0.863     1.04  0.00932   0.0152
       9    0.958    0.854     1.04   0.0093    0.015
     9.4    0.963    0.845     1.03   0.0076   0.0121
     9.8    0.967    0.837     1.03  0.00674   0.0107
    10.2    0.971     0.83     1.03  0.00673   0.0106
    10.6    0.975    0.824     1.03  0.00672   0.0105
      11    0.979    0.818     1.03  0.00588  0.00914
    11.4    0.982    0.813     1.03  0.00503  0.00778
    11.8    0.985    0.809     1.03  0.00503  0.00773
    12.2    0.988    0.806     1.03  0.00502  0.00768
    12.6    0.991    0.803     1.03  0.00418  0.00637
      13    0.993    0.801     1.03  0.00418  0.00633
    13.4    0.996    0.799     1.02  0.00501  0.00756
    13.8    0.999    0.799     1.02  0.00334  0.00502
    14.2        1    0.799     1.02 0.000833  0.00125
    14.6        1    0.799     1.02  0.00832   0.0124
      15     1.01    0.801     1.01  0.00832   0.0124
    15.4     1.01    0.803     1.01        0        0
    15.8     1.01    0.806     1.01  0.00829   0.0121
    16.2     1.02    0.809    0.999  0.00829   0.0121
    16.6     1.02    0.813    0.993        0        0
      17     1.02    0.818    0.989        0        0
    17.4     1.02    0.824    0.984  0.00827   0.0119
