   -14.8    0.014   0.0577        1  0.00709     11.6
   -14.4   0.0161   0.0707        1   0.0148     21.7
     -14   0.0185    0.085        1   0.0163       19
   -13.6   0.0213    0.101        1    0.018     16.5
   -13.2   0.0245    0.117        1   0.0198     14.4
   -12.8   0.0282    0.135        1   0.0213     12.3
   -12.4   0.0323    0.155        1   0.0232     10.6
     -12   0.0371    0.175        1   0.0255     9.29
   -11.6   0.0425    0.196        1   0.0274     7.97
   -11.2   0.0486    0.218        1   0.0296     6.89
   -10.8   0.0555    0.241        1   0.0321     5.97
   -10.4   0.0633    0.264        1   0.0347     5.19
     -10   0.0721    0.288        1   0.0372     4.48
    -9.6   0.0819    0.316        1   0.0397     3.87
    -9.2   0.0928    0.346        1   0.0425     3.36
    -8.8    0.105    0.378        1   0.0445     2.88
    -8.4    0.118    0.411        1   0.0475     2.51
      -8    0.133    0.445        1   0.0506      2.2
    -7.6    0.149    0.481        1   0.0534     1.91
    -7.2    0.167    0.518        1   0.0545     1.63
    -6.8    0.185    0.556        1   0.0569     1.42
    -6.4    0.206    0.595        1   0.0607     1.27
      -6    0.228    0.633        1   0.0614     1.09
    -5.6    0.251    0.672        1   0.0621    0.937
    -5.2    0.275     0.71        1    0.064    0.827
    -4.8    0.301    0.747        1   0.0659    0.734
    -4.4    0.328    0.783        1   0.0653    0.632
      -4    0.355    0.817        1   0.0659    0.556
    -3.6    0.384     0.85        1   0.0665    0.494
    -3.2    0.413    0.881        1    0.066    0.434
    -2.8    0.443    0.909        1   0.0667     0.39
    -2.4    0.474    0.934        1   0.0652    0.342
      -2    0.504    0.956        1   0.0639    0.301
    -1.6    0.535    0.976        1   0.0627    0.268
    -1.2    0.565    0.992        1   0.0605    0.236
    -0.8    0.595        1        1   0.0585    0.209
    -0.4    0.624     1.01        1   0.0556    0.184
3.02e-14    0.652     1.02        1   0.0538    0.165
     0.4     0.68     1.02        1   0.0521    0.149
     0.8    0.707     1.02        1   0.0487    0.131
     1.2    0.732     1.02        1   0.0453    0.115
     1.6    0.756     1.02     1.05    0.043    0.103
       2    0.779     1.01     1.05   0.0399   0.0909
     2.4      0.8        1     1.05   0.0368   0.0802
     2.8     0.82    0.991     1.05   0.0347   0.0726
     3.2    0.839    0.979     1.05   0.0318   0.0641
     3.6    0.856    0.966     1.05    0.029   0.0564
       4    0.872    0.952     1.06   0.0262   0.0494
     4.4    0.886    0.938     1.06   0.0234   0.0431
     4.8    0.899    0.923     1.06   0.0216   0.0387
     5.2    0.911    0.908     1.06   0.0198   0.0347
     5.6    0.922    0.894     1.06   0.0171   0.0295
       6    0.931     0.88     1.06   0.0154    0.026
     6.4     0.94    0.866     1.06   0.0145   0.0241
     6.8    0.948    0.853     1.06   0.0119   0.0195
     7.2    0.954    0.841     1.06   0.0102   0.0165
     7.6     0.96    0.829     1.06   0.0101   0.0163
       8    0.966    0.818     1.06  0.00843   0.0134
     8.4     0.97    0.808     1.06  0.00758   0.0119
     8.8    0.975    0.799     1.06  0.00673   0.0105
     9.2    0.978    0.791     1.06  0.00504  0.00784
     9.6    0.981    0.784     1.06  0.00503  0.00779
      10    0.984    0.777     1.06  0.00503  0.00775
    10.4    0.987    0.772     1.06  0.00502   0.0077
    10.8     0.99    0.767     1.06  0.00335  0.00511
    11.2    0.991    0.763     1.06  0.00251  0.00381
    11.6    0.993     0.76     1.06  0.00418  0.00633
      12    0.996    0.757     1.05  0.00334  0.00505
    12.4    0.997    0.756     1.05   0.0025  0.00377
    12.8    0.999    0.755     1.05   0.0025  0.00376
    13.2        1    0.755     1.05 0.000833  0.00125
    13.6        1    0.756     1.05        0        0
      14        1    0.757     1.05  0.00832   0.0124
    14.4     1.01     0.76     1.04  0.00832   0.0124
    14.8     1.01    0.763     1.04        0        0
    15.2     1.01    0.767     1.04        0        0
    15.6     1.01    0.772     1.03  0.00829   0.0121
      16     1.02    0.777     1.03  0.00829   0.0121
    16.4     1.02    0.784     1.02        0        0
    16.8     1.02    0.791     1.02  0.00827   0.0119
    17.2     1.03    0.799     1.01  0.00827   0.0119
    17.6     1.03    0.808    0.999        0        0
      18     1.03    0.818     0.99  0.00824   0.0117
    18.4     1.04    0.829     0.98   0.0165   0.0231
    18.8     1.05    0.841    0.968  0.00821   0.0114
    19.2     1.05    0.853    0.954  0.00819   0.0112
    19.6     1.06    0.866    0.939   0.0163   0.0223
      20     1.07     0.88    0.923   0.0163   0.0218
    20.4     1.08    0.894    0.905   0.0162   0.0214
    20.8     1.09    0.908    0.885   0.0162    0.021
    21.2      1.1    0.923    0.864   0.0161   0.0207
    21.6     1.11    0.938    0.841   0.0241   0.0302
      22     1.13    0.952    0.816    0.024   0.0296
    22.4     1.14    0.966    0.789   0.0239   0.0286
    22.8     1.16    0.979    0.761   0.0317   0.0372
    23.2     1.18    0.991    0.732   0.0315   0.0359
    23.6      1.2        1    0.701   0.0314   0.0347
      24     1.22     1.01    0.669   0.0312   0.0336
    24.4     1.24     1.02    0.637   0.0387   0.0403
    24.8     1.27     1.02    0.604   0.0385   0.0391
    25.2     1.29     1.02     0.57   0.0382   0.0373
    25.6     1.32     1.02    0.537   0.0456   0.0431
      26     1.35     1.02    0.503   0.0452   0.0412
    26.4     1.38     1.01     0.47   0.0449   0.0394
    26.8     1.41        1    0.438   0.0446   0.0377
    27.2     1.44    0.992    0.406   0.0443   0.0362
    27.6     1.47    0.976    0.376    0.044   0.0347
      28      1.5    0.956    0.346   0.0437   0.0333
    28.4     1.53    0.934    0.318   0.0434   0.0321
    28.8     1.56    0.909    0.291   0.0431   0.0308
    29.2     1.59    0.881    0.266   0.0428   0.0297
    29.6     1.62     0.85    0.242   0.0355    0.024
      30     1.64    0.817    0.219   0.0353   0.0231
    30.4     1.67    0.783    0.198   0.0421   0.0269
    30.8      1.7    0.747    0.178   0.0419    0.026
    31.2     1.73     0.71     0.16   0.0347    0.021
    31.6     1.75    0.672    0.144   0.0277   0.0163
      32     1.77    0.633    0.129   0.0276    0.016
    32.4     1.79    0.595    0.115   0.0275   0.0156
    32.8     1.81    0.556    0.102   0.0274   0.0153
    33.2     1.83    0.518   0.0907   0.0273   0.0149
    33.6     1.85    0.481   0.0804   0.0272   0.0146
      34     1.87    0.445   0.0712   0.0203   0.0108
    34.4     1.88    0.411   0.0628   0.0202   0.0106
    34.8      1.9    0.378   0.0553   0.0202   0.0104
    35.2     1.91    0.346   0.0486   0.0134  0.00685
    35.6     1.92    0.316   0.0427   0.0134  0.00678
      36     1.93    0.288   0.0374   0.0134  0.00671
    36.4     1.94    0.261   0.0328  0.00669  0.00334
    36.8     1.94    0.237   0.0287  0.00668   0.0033
    37.2     1.95    0.214   0.0251   0.0133  0.00657
    37.6     1.96    0.193   0.0219  0.00666  0.00327
      38     1.96    0.174   0.0191  0.00665  0.00324
    38.4     1.97    0.156   0.0166  0.00665  0.00324
    38.8     1.97     0.14   0.0145  0.00664   0.0032
    39.2     1.98    0.126   0.0126  0.00664   0.0032
