    28.6     1.45     1.05    0.386   0.0295   0.0238
      29     1.47     1.04    0.368    0.022   0.0175
    29.4     1.48     1.03    0.351   0.0219    0.017
    29.8      1.5     1.02    0.334   0.0291   0.0222
    30.2     1.52        1    0.318    0.029   0.0216
    30.6     1.54    0.986    0.302   0.0289   0.0211
      31     1.56    0.969    0.286   0.0287   0.0205
    31.4     1.58    0.952    0.271   0.0215   0.0151
    31.8     1.59    0.933    0.257   0.0214   0.0147
    32.2     1.61    0.914    0.243   0.0284   0.0193
    32.6     1.63    0.893    0.229   0.0283   0.0188
      33     1.65    0.872    0.216   0.0212   0.0139
    33.4     1.66     0.85    0.204   0.0211   0.0135
    33.8     1.68    0.827    0.192   0.0211   0.0134
    34.2     1.69    0.804    0.181    0.021   0.0131
    34.6     1.71    0.781     0.17   0.0279   0.0171
      35     1.73    0.757     0.16   0.0208   0.0126
    35.4     1.74    0.733     0.15   0.0139  0.00826
    35.8     1.75    0.708    0.141   0.0207   0.0122
    36.2     1.77    0.684    0.132   0.0207    0.012
    36.6     1.78     0.66    0.123   0.0138  0.00789
      37     1.79    0.635    0.115   0.0206   0.0116
    37.4     1.81    0.611    0.108   0.0205   0.0115
    37.8     1.82    0.587    0.101   0.0137  0.00755
    38.2     1.83    0.563   0.0943   0.0136  0.00747
    38.6     1.84     0.54    0.088   0.0136  0.00738
      39     1.85    0.517   0.0821   0.0136   0.0073
    39.4     1.86    0.495   0.0766   0.0136  0.00723
    39.8     1.87    0.473   0.0714   0.0135  0.00715
    40.2     1.88    0.451   0.0666  0.00676  0.00356
    40.6     1.88     0.43   0.0621  0.00675  0.00352
      41     1.89     0.41   0.0578   0.0135    0.007
    41.4      1.9    0.391   0.0537  0.00673  0.00348
    41.8      1.9    0.372   0.0501  0.00672  0.00344
    42.2     1.91    0.353   0.0466   0.0134  0.00685
    42.6     1.92    0.335   0.0433  0.00671  0.00341
      43     1.92    0.318   0.0403   0.0067  0.00337
    43.4     1.93    0.302   0.0374   0.0067  0.00337
    43.8     1.93    0.286   0.0348  0.00669  0.00334
    44.2     1.94    0.271   0.0323  0.00669  0.00334
    44.6     1.94    0.257     0.03  0.00668   0.0033
      45     1.95    0.243   0.0279  0.00668   0.0033
    45.4     1.95     0.23   0.0259        0        0
    45.8     1.95    0.217    0.024  0.00666  0.00327
    46.2     1.96    0.205   0.0223  0.00666  0.00327
    46.6     1.96    0.193   0.0207        0        0
      47     1.96    0.183   0.0192        0        0
    47.4     1.96    0.172   0.0178  0.00665  0.00324
    47.8     1.97    0.162   0.0165  0.00665  0.00324
    48.2     1.97    0.153   0.0153        0        0
    48.6     1.97    0.144   0.0142        0        0
      49     1.97    0.136   0.0132  0.00664   0.0032
    49.4     1.98    0.128   0.0122  0.00664   0.0032
    49.8     1.98     0.12   0.0113        0        0
    50.2     1.98    0.113   0.0105        0        0
    50.6     1.98    0.106  0.00972        0        0
      51     1.98      0.1  0.00901        0        0
    51.4     1.98    0.094  0.00835  0.00663  0.00317
    51.8     1.99   0.0883  0.00774  0.00663  0.00317
    52.2     1.99    0.083  0.00717        0        0
    52.6     1.99   0.0779  0.00665        0        0
      53     1.99   0.0732  0.00616        0        0
    53.4     1.99   0.0687   0.0057        0        0
    53.8     1.99   0.0644  0.00528        0        0
    54.2     1.99   0.0605  0.00489        0        0
    54.6     1.99   0.0567  0.00454        0        0
      55     1.99   0.0532   0.0042        0        0
    55.4     1.99   0.0499  0.00389        0        0
    55.8     1.99   0.0468  0.00361        0        0
    56.2     1.99   0.0438  0.00334        0        0
    56.6     1.99   0.0411  0.00309        0        0
      57     1.99   0.0385  0.00287        0        0
    57.4     1.99   0.0361  0.00265  0.00662  0.00314
    57.8        2   0.0338  0.00246  0.00662  0.00314
    58.2        2   0.0317  0.00228        0        0
    58.6        2   0.0296  0.00211        0        0
      59        2   0.0278  0.00195        0        0
    59.4        2    0.026  0.00181        0        0
    59.8        2   0.0243  0.00167        0        0
    60.2        2   0.0228  0.00155        0        0
    60.6        2   0.0213  0.00143        0        0
      61        2   0.0199  0.00133        0        0
    61.4        2   0.0187  0.00123        0        0
    61.8        2   0.0175  0.00114        0        0
    62.2        2   0.0163  0.00105        0        0
    62.6        2   0.0153 0.000977        0        0
      63        2   0.0143 0.000905        0        0
    63.4        2   0.0133 0.000838        0        0
    63.8        2   0.0125 0.000776        0        0
