     -15    0.298    0.829        1   0.0136    0.149
   -14.6    0.309    0.846        1   0.0259    0.276
   -14.2    0.319    0.863        1   0.0256    0.257
   -13.8     0.33    0.881        1   0.0265    0.253
   -13.4    0.341    0.898        1   0.0262    0.237
     -13    0.352    0.915        1   0.0271    0.232
   -12.6    0.364    0.931        1    0.028    0.227
   -12.2    0.376    0.948        1   0.0277    0.212
   -11.8    0.388    0.965        1   0.0274    0.199
   -11.4      0.4    0.982        1   0.0283    0.195
     -11    0.413    0.998        1    0.028    0.184
   -10.6    0.425     1.01        1   0.0277    0.173
   -10.2    0.438     1.03        1   0.0285     0.17
    -9.8    0.451     1.05        1   0.0293    0.166
    -9.4    0.465     1.06        1   0.0301    0.162
      -9    0.479     1.08        1   0.0288    0.148
    -8.6    0.492     1.09        1   0.0295    0.144
    -8.2    0.507     1.11    0.864   0.0303    0.141
    -7.8    0.521     1.12    0.858    0.029    0.129
    -7.4    0.535     1.14    0.853   0.0298    0.127
      -7     0.55     1.15    0.847   0.0305    0.124
    -6.6    0.565     1.16    0.841   0.0302    0.118
    -6.2     0.58     1.18    0.835     0.03    0.112
    -5.8    0.595     1.19    0.829   0.0297    0.106
    -5.4     0.61      1.2    0.822   0.0305    0.104
      -5    0.626     1.21    0.816   0.0302   0.0991
    -4.6    0.641     1.22    0.809     0.03   0.0942
    -4.2    0.657     1.23    0.802   0.0307   0.0927
    -3.8    0.673     1.24    0.795   0.0304   0.0884
    -3.4    0.689     1.25    0.787   0.0302   0.0843
      -3    0.705     1.26    0.779   0.0309   0.0829
    -2.6    0.722     1.27    0.772   0.0307   0.0793
    -2.2    0.738     1.28    0.763   0.0295   0.0735
    -1.8    0.754     1.29    0.755   0.0302   0.0725
    -1.4    0.771      1.3    0.747   0.0309   0.0715
      -1    0.788      1.3    0.738   0.0298   0.0665
    -0.6    0.804     1.31     0.73   0.0296   0.0638
    -0.2    0.821     1.32    0.721   0.0303   0.0631
     0.2    0.838     1.32    0.711   0.0301   0.0605
     0.6    0.855     1.33    0.702   0.0299   0.0582
       1    0.872     1.33    0.693   0.0297   0.0559
     1.4    0.889     1.33    0.683   0.0295   0.0538
     1.8    0.906     1.34    0.673   0.0293   0.0518
     2.2    0.923     1.34    0.663   0.0291   0.0499
     2.6     0.94     1.34    0.653   0.0289   0.0481
       3    0.957     1.34    0.643   0.0288   0.0464
     3.4    0.974     1.35    0.633   0.0286   0.0448
     3.8    0.991     1.35    0.622   0.0301   0.0457
     4.2     1.01     1.35    0.612   0.0324   0.0478
     4.6     1.03     1.35    0.601   0.0248   0.0357
       5     1.04     1.34     0.59   0.0246   0.0343
     5.4     1.06     1.34    0.579   0.0327   0.0445
     5.8     1.08     1.34    0.568   0.0244   0.0325
     6.2     1.09     1.34    0.557   0.0243   0.0313
     6.6     1.11     1.33    0.546   0.0322   0.0406
       7     1.13     1.33    0.535    0.032   0.0392
     7.4     1.15     1.33    0.524   0.0239   0.0286
     7.8     1.16     1.32    0.513   0.0238   0.0276
     8.2     1.18     1.32    0.502   0.0315   0.0359
     8.6      1.2     1.31    0.491   0.0236   0.0263
       9     1.21      1.3     0.48   0.0234   0.0254
     9.4     1.23      1.3    0.469   0.0311   0.0331
     9.8     1.25     1.29    0.458   0.0232   0.0242
    10.2     1.26     1.28    0.447   0.0231   0.0234
    10.6     1.28     1.27    0.436   0.0231   0.0231
      11     1.29     1.26    0.425   0.0229   0.0224
