# U0/t0  Spi
3.062 0.9936
4.593 1.093
6.124 1.218
7.655 1.329
9.378 1.441
11.1 1.474
12.82 1.459
14.54 1.445
16.27 1.403
17.99 1.354
19.71 1.294
21.43 1.263
