# U0/t0  Spi
3.062 0.9105
4.593 0.958
6.124 0.9985
9.378 1.068
11.1 1.089
12.82 1.091
14.54 1.093
16.27 1.086
17.99 1.073
19.71 1.06
21.43 1.056
