# U0/t0  Spi
3.062 0.959
4.593 1.039
6.124 1.116
7.655 1.193
9.378 1.256
11.1 1.278
12.82 1.281
14.54 1.275
16.27 1.246
17.99 1.215
19.71 1.185
21.43 1.164
