# U0/t0  Spi
3.062 1.01
4.593 1.157
6.124 1.34
7.655 1.525
9.378 1.757
11.1 1.848
12.82 1.87
14.54 1.826
16.27 1.682
17.99 1.55
19.71 1.44
21.43 1.374
