# U0/t0  Spi
3.062 1.04
4.593 1.185
6.124 1.37
7.655 1.654
9.378 2.08
11.1 2.224
12.82 2.137
14.54 2.043
16.27 1.847
17.99 1.682
19.71 1.566
21.43 1.48
